Date,toeuro
2019-05-02,0.8575
2019-05-03,0.8511
2019-05-04,0.8511
2019-05-06,0.8554
2019-05-07,0.8563
2019-05-08,0.8605
2019-05-09,0.8624
2019-05-10,0.8645
2019-05-11,0.8645
2019-05-13,0.8671
2019-05-14,0.8681
2019-05-15,0.8725
2019-05-16,0.8731
2019-05-17,0.8781
2019-05-18,0.8781
2019-05-20,0.8774
2019-05-21,0.8789
2019-05-22,0.8810
2019-05-23,0.8830
2019-05-24,0.8815
2019-05-25,0.8815
2019-05-27,0.8826
2019-05-28,0.8820
2019-05-29,0.8819
2019-05-30,0.8828
2019-05-31,0.8861
2019-06-01,0.8861
2019-06-03,0.8878
2019-06-04,0.8861
2019-06-05,0.8848
2019-06-06,0.8882
2019-06-07,0.8902
2019-06-08,0.8902
2019-06-10,0.8918
2019-06-11,0.8904
2019-06-12,0.8898
2019-06-13,0.8894
2019-06-14,0.8926
2019-06-15,0.8926
2019-06-17,0.8948
2019-06-18,0.8915
2019-06-19,0.8881
2019-06-20,0.8888
2019-06-21,0.8943
2019-06-22,0.8943
2019-06-24,0.8950
2019-06-25,0.8959
2019-06-26,0.8960
2019-06-27,0.8973
2019-06-28,0.8972
2019-06-29,0.8972
2019-07-02,0.8962
2019-07-03,0.8973
2019-07-04,0.8971
2019-07-05,0.8972
2019-07-06,0.8969
2019-07-08,0.8960
2019-07-09,0.8994
2019-07-10,0.9001
2019-07-11,0.8986
2019-07-12,0.8978
2019-07-13,0.8978
2019-07-15,0.8996
2019-07-16,0.9034
2019-07-17,0.9030
2019-07-18,0.8978
2019-07-19,0.8986
2019-07-20,0.8986
2019-07-22,0.8984
2019-07-23,0.8966
2019-07-24,0.8925
2019-07-25,0.8951
2019-07-26,0.9004
2019-07-27,0.9004
2019-07-29,0.9118
2019-07-30,0.9175
2019-07-31,0.9110
2019-08-01,0.9140
2019-08-02,0.9153
2019-08-03,0.9153
2019-08-05,0.9235
2019-08-06,0.9208
2019-08-07,0.9226
2019-08-08,0.9213
2019-08-09,0.9397
2019-08-10,0.9397
2019-08-12,0.9285
2019-08-13,0.9267
2019-08-14,0.9240
2019-08-15,0.9187
2019-08-16,0.9131
2019-08-17,0.9131
2019-08-19,0.9139
2019-08-20,0.9123
2019-08-21,0.9145
2019-08-22,0.9045
2019-08-23,0.9155
2019-08-24,0.9155
2019-08-26,0.9081
2019-08-27,0.9028
2019-08-28,0.9072
2019-08-29,0.9076
2019-08-30,0.9056
2019-08-31,0.9056
2019-09-02,0.9089
2019-09-03,0.9076
2019-09-04,0.9010
2019-09-05,0.8952
2019-09-06,0.9065
2019-09-07,0.9065
2019-09-09,0.8948
2019-09-10,0.8944
2019-09-11,0.8930
2019-09-12,0.8966
2019-09-13,0.8921
2019-09-14,0.8921
2019-09-16,0.8855
2019-09-17,0.8856
2019-09-18,0.8841
2019-09-19,0.8820
2019-09-20,0.8833
2019-09-21,0.8833
2019-09-23,0.8841
2019-09-24,0.8821
2019-09-25,0.8860
2019-09-26,0.8860
2019-09-27,0.8902
2019-09-28,0.8902
2019-09-30,0.8868
2019-10-01,0.8897
2019-10-02,0.8912
2019-10-03,0.8894
2019-10-04,0.8903
2019-10-05,0.8903
2019-10-07,0.8930
2019-10-08,0.8965
2019-10-09,0.8993
2019-10-10,0.8853
2019-10-11,0.8723
2019-10-12,0.8723
2019-10-14,0.8749
2019-10-15,0.8646
2019-10-16,0.8640
2019-10-17,0.8638
2019-10-18,0.8598
2019-10-19,0.8598
2019-10-21,0.8599
2019-10-22,0.8637
2019-10-23,0.8620
2019-10-24,0.8646
2019-10-25,0.8638
2019-10-26,0.8638
2019-10-28,0.8633
2019-10-29,0.8638
2019-10-30,0.8645
2019-10-31,0.8624
2019-11-01,0.8648
2019-11-02,0.8648
2019-11-04,0.8634
2019-11-05,0.8600
2019-11-06,0.8612
2019-11-07,0.8624
2019-11-08,0.8625
2019-11-09,0.8625
2019-11-11,0.8581
2019-11-12,0.8570
2019-11-13,0.8565
2019-11-14,0.8556
2019-11-15,0.8566
2019-11-16,0.8564
2019-11-18,0.8549
2019-11-19,0.8570
2019-11-20,0.8568
2019-11-21,0.8568
2019-11-22,0.8586
2019-11-23,0.8587
2019-11-25,0.8537
2019-11-26,0.8571
2019-11-27,0.8499
2019-11-28,0.8530
2019-11-29,0.8525
2019-11-30,0.8523
2019-12-02,0.8558
2019-12-03,0.8528
2019-12-04,0.8452
2019-12-05,0.8438
2019-12-06,0.8417
2019-12-07,0.8416
2019-12-09,0.8422
2019-12-10,0.8453
2019-12-11,0.8437
2019-12-12,0.8317
2019-12-13,0.8341
2019-12-14,0.8345
2019-12-16,0.8393
2019-12-17,0.8492
2019-12-18,0.8496
2019-12-19,0.8552
2019-12-20,0.8519
2019-12-21,0.8520
2019-12-23,0.8570
2019-12-24,0.8574
2019-12-25,0.8550
2019-12-26,0.8536
2019-12-27,0.8542
2019-12-28,0.8543
2019-12-30,0.8537
2019-12-31,0.8461
2020-01-01,0.8462
2020-01-02,0.8501
2020-01-03,0.8532
2020-01-04,0.8527
2020-01-06,0.8496
2020-01-07,0.8497
2020-01-08,0.8481
2020-01-09,0.8500
2020-01-10,0.8511
2020-01-11,0.8511
2020-01-13,0.8574
2020-01-14,0.8544
2020-01-15,0.8545
2020-01-16,0.8517
2020-01-17,0.8526
2020-01-18,0.8521
2020-01-20,0.8532
2020-01-21,0.8495
2020-01-22,0.8443
2020-01-23,0.8426
2020-01-24,0.8433
2020-01-25,0.8433
2020-01-27,0.8441
2020-01-28,0.8461
2020-01-29,0.8461
2020-01-30,0.8431
2020-01-31,0.8404
2020-02-01,0.8402
2020-02-03,0.8510
2020-02-04,0.8475
2020-02-05,0.8463
2020-02-06,0.8495
2020-02-07,0.8493
2020-02-08,0.8490
2020-02-10,0.8450
2020-02-11,0.8427
2020-02-12,0.8390
2020-02-13,0.8306
2020-02-14,0.8301
2020-02-15,0.8301
2020-02-17,0.8334
2020-02-18,0.8304
2020-02-19,0.8365
2020-02-20,0.8373
2020-02-21,0.8369
2020-02-22,0.8373
2020-02-24,0.8396
2020-02-25,0.8369
2020-02-26,0.8433
2020-02-27,0.8534
2020-02-28,0.8603
2020-02-29,0.8601
2020-03-02,0.8734
2020-03-03,0.8717
2020-03-04,0.8654
2020-03-05,0.8672
2020-03-06,0.8650
2020-03-07,0.8649
2020-03-09,0.8733
2020-03-10,0.8764
2020-03-11,0.8788
2020-03-12,0.8888
2020-03-13,0.9080
2020-03-14,0.9083
2020-03-16,0.9106
2020-03-17,0.9120
2020-03-18,0.9392
2020-03-19,0.9315
2020-03-20,0.9238
2020-03-21,0.9239
2020-03-23,0.9298
2020-03-24,0.9170
2020-03-25,0.9202
2020-03-26,0.9079
2020-03-27,0.8966
2020-03-28,0.8967
2020-03-30,0.8905
2020-03-31,0.8891
2020-04-01,0.8834
2020-04-02,0.8753
2020-04-03,0.8805
2020-04-04,0.8806
2020-04-06,0.8837
2020-04-07,0.8824
2020-04-08,0.8766
2020-04-09,0.8774
2020-04-10,0.8784
2020-04-11,0.8786
2020-04-13,0.8722
2020-04-14,0.8701
2020-04-15,0.8707
2020-04-16,0.8703
2020-04-17,0.8692
2020-04-18,0.8692
2020-04-20,0.8732
2020-04-21,0.8827
2020-04-22,0.8773
2020-04-23,0.8726
2020-04-24,0.8755
2020-04-25,0.8752
2020-04-27,0.8715
2020-04-28,0.8713
2020-04-29,0.8719
2020-04-30,0.8698
2020-05-01,0.8873
2020-05-02,0.8874
2020-05-04,0.8763
2020-05-05,0.8711
2020-05-06,0.8755
2020-05-07,0.8761
2020-05-08,0.8841
2020-05-09,0.8843
2020-05-11,0.8763
2020-05-12,0.8848
2020-05-13,0.8843
2020-05-14,0.8836
2020-05-15,0.8940
2020-05-16,0.8941
2020-05-18,0.8948
2020-05-19,0.8918
2020-05-20,0.8972
2020-05-21,0.8959
2020-05-22,0.8960
2020-05-23,0.8963
2020-05-25,0.8938
2020-05-26,0.8904
2020-05-27,0.8980
2020-05-28,0.8990
2020-05-29,0.8996
2020-05-30,0.8997
2020-06-01,0.8916
2020-06-02,0.8904
2020-06-03,0.8932
2020-06-04,0.8998
2020-06-05,0.8914
2020-06-06,0.8915
2020-06-08,0.8869
2020-06-09,0.8907
2020-06-10,0.8929
2020-06-11,0.8975
2020-06-12,0.8974
2020-06-13,0.8972
2020-06-15,0.8974
2020-06-16,0.8960
2020-06-17,0.8953
2020-06-18,0.9020
2020-06-19,0.9053
2020-06-20,0.9051
2020-06-22,0.9025
2020-06-23,0.9035
2020-06-24,0.9064
2020-06-25,0.9034
2020-06-26,0.9092
2020-06-27,0.9092
2020-06-29,0.9137
2020-06-30,0.9065
2020-07-01,0.9019
2020-07-02,0.9014
2020-07-03,0.9009
2020-07-04,0.9008
2020-07-06,0.9053
2020-07-07,0.8991
2020-07-08,0.8987
2020-07-09,0.8953
2020-07-10,0.8948
2020-07-11,0.8948
2020-07-13,0.9035
2020-07-14,0.9075
2020-07-15,0.9064
2020-07-16,0.9068
2020-07-17,0.9094
2020-07-18,0.9095
2020-07-20,0.9042
2020-07-21,0.9057
2020-07-22,0.9086
2020-07-23,0.9106
2020-07-24,0.9109
2020-07-25,0.9112
2020-07-27,0.9125
2020-07-28,0.9065
2020-07-29,0.9075
2020-07-30,0.9048
2020-07-31,0.9002
2020-08-01,0.9002
2020-08-03,0.8997
2020-08-04,0.9024
2020-08-05,0.9046
2020-08-06,0.9041
2020-08-07,0.9031
2020-08-08,0.9038
2020-08-10,0.8981
2020-08-11,0.8992
2020-08-12,0.9045
2020-08-13,0.9041
2020-08-14,0.9051
2020-08-15,0.9049
2020-08-17,0.9060
2020-08-18,0.9014
2020-08-19,0.9035
2020-08-20,0.8975
2020-08-21,0.9011
2020-08-22,0.9011
2020-08-24,0.9024
2020-08-25,0.8999
2020-08-26,0.8955
2020-08-27,0.8956
2020-08-28,0.8918
2020-08-29,0.8918
2020-08-31,0.8931
2020-09-01,0.8900
2020-09-02,0.8878
2020-09-03,0.8925
2020-09-04,0.8915
2020-09-05,0.8908
2020-09-07,0.8975
2020-09-08,0.9077
2020-09-09,0.9079
2020-09-10,0.9227
2020-09-11,0.9258
2020-09-12,0.9259
2020-09-14,0.9235
2020-09-15,0.9191
2020-09-16,0.9108
2020-09-17,0.9133
2020-09-18,0.9166
2020-09-19,0.9166
2020-09-21,0.9180
2020-09-22,0.9193
2020-09-23,0.9165
2020-09-24,0.9156
2020-09-25,0.9126
2020-09-26,0.9126
2020-09-28,0.9083
2020-09-29,0.9129
2020-09-30,0.9075
2020-10-01,0.9114
2020-10-02,0.9059
2020-10-03,0.9059
2020-10-05,0.9073
2020-10-06,0.9113
2020-10-07,0.9108
2020-10-08,0.9093
2020-10-09,0.9066
2020-10-10,0.9067
2020-10-12,0.9042
2020-10-13,0.9079
2020-10-14,0.9027
2020-10-15,0.9075
2020-10-16,0.9072
2020-10-17,0.9071
2020-10-19,0.9092
2020-10-20,0.9134
2020-10-21,0.9026
2020-10-22,0.9037
2020-10-23,0.9091
2020-10-24,0.9093
